Invoice #,Date,Customer Code,Customer Name,Subtotal,Calculated,Match?,# Items,Salesperson,Doc Total
817946,05/07/25,255,THE SEVE,880.0,880.0,True,1,JV,932.8
817947,05/07/25,1273NJ2,STRUCTUR,1021.65,1021.65,True,5,JA,1021.65
817948,05/07/25,255,THE SEVE,675.0,675.0,True,3,JV,715.5
817950,05/07/25,255,THE SEVE,369.1,369.1,True,4,JV,391.25
817951,05/07/25,1653,VARCO MA,175.0,175.0,True,1,JV,185.5
817952,05/07/25,807,ANCHOR M,2080.95,2080.95,True,2,J2V,2205.81
817953,05/07/25,1653,VARCO MA,650.0,650.0,True,1,JV,689.0
817954,05/07/25,1653,VARCO MA,58.0,58.0,True,3,JV,61.48
817955,05/07/25,255,THE SEVE,2498.0,2498.0,True,7,JV,2647.88
817956,05/07/25,299,B&W EQUI,774.0,774.0,True,1,HB,774.0
817957,05/07/25,88,HARRIS M,5463.92,5463.92,True,11,J2V,5791.76
817958,05/07/25,1110,CULBERTS,3675.38,3675.38,True,43,RO,3895.9
817959,05/07/25,93,ALTIMATE,356.44,356.44,True,4,RPS,368.83
817960,05/07/25,1653,VARCO MA,330.5,330.5,True,2,JV,350.33
817961,05/07/25,1062GA,TK ELEVA,3306.3,3306.3,True,39,RO,3504.68
817962,05/07/25,551,CAPITAL,19.85,19.85,True,2,CA,19.85
817963,05/07/25,1273NJ2,STRUCTUR,132.04,132.04,True,6,JA,132.04
817964,05/07/25,515,ROSENDIN,535.0,535.0,True,10,JS,567.1
817965,05/07/25,515,ROSENDIN,69.0,69.0,True,3,JS,69.0
817966,05/07/25,1711,THE POOL,576.0,576.0,True,4,JS,610.56
817967,05/07/25,1049,EAST COA,2247.3,2247.3,True,10,CA,2382.14
817968,05/07/25,859,T&B ELEC,2277.31,2277.31,True,21,JV,2413.95
817969,05/07/25,55,DYNALECT,349.0,349.0,True,2,JV,369.94
817970,05/07/25,1766,W.E. BOW,354.28,354.28,True,4,CA,375.54
817971,05/07/25,55,DYNALECT,12.0,12.0,True,2,JV,12.72
817972,05/07/25,889,DIRECT L,674.75,674.75,True,6,JA,674.75
817973,05/07/25,154,PIONEER,2547.0,2547.0,True,3,J2V,2699.82
817974,05/07/25,282,PARAMOUN,140.0,140.0,True,4,MS,148.4
817975,05/07/25,55,DYNALECT,236.0,236.0,True,2,JV,250.16
817976,05/07/25,1052,BFPE INT,2092.15,2092.15,True,9,JA,2217.68
817977,05/07/25,1052,BFPE INT,1605.0,1605.0,True,7,JA,1701.3
817978,05/07/25,1052,BFPE INT,153.0,153.0,True,2,JA,162.18
817979,05/07/25,1207DC,WHITING,294.13,294.13,True,3,CA,294.13
817980,05/07/25,1653,VARCO MA,505.1,505.1,True,8,JV,535.41
817981,05/07/25,1273,STRUCTUR,718.8,718.8,True,1,JA,761.93
817982,05/07/25,1420,HARKINS,428.0,428.0,True,3,MS,453.68
817983,05/07/25,54,HARDESTY,25.0,25.0,True,1,HB,26.5
817984,05/07/25,1764W,POWER SO,614.13,614.13,True,3,CA,618.03
817985,05/07/25,1766,W.E. BOW,15.0,15.0,True,2,CA,15.9
817986,05/07/25,1422,POTOMAC,192.0,192.0,True,3,CA,203.52
817987,05/07/25,1422,POTOMAC,93.9,93.9,True,2,CA,99.53
817988,05/07/25,1422,POTOMAC,274.0,274.0,True,2,CA,290.44
817989,05/07/25,1422,POTOMAC,47.25,47.25,True,1,CA,50.09
817990,05/07/25,1273NJ2,STRUCTUR,1327.0,1327.0,True,9,JA,1414.91
817991,05/07/25,1653,VARCO MA,150.0,150.0,True,1,JV,159.0
817992,05/07/25,1766,W.E. BOW,275.0,275.0,True,1,CA,291.5
817993,05/07/25,1766,W.E. BOW,440.4,440.4,True,4,CA,466.82
817994,05/07/25,93,ALTIMATE,710.99,710.99,True,3,RO,753.65
817995,05/07/25,1110,CULBERTS,592.8,592.8,True,5,RO,628.37
817996,05/07/25,889,DIRECT L,226.5,226.5,True,4,JA,226.5
817997,05/07/25,1711,THE POOL,569.9,569.9,True,6,RPS,598.69
817998,05/07/25,1764W,POWER SO,686.8,686.8,True,3,CA,728.01
817999,05/07/25,1653,VARCO MA,155.0,155.0,True,4,JV,164.3
818000,05/07/25,55,DYNALECT,1104.0,1104.0,True,1,JV,1170.24
818001,05/07/25,1269,WILLIAM,772.8,772.8,True,1,RO,819.17
818002,05/07/25,1207,WHITING,222.98,222.98,True,3,CA,236.36
818003,05/07/25,1269,WILLIAM,1966.0,1966.0,True,3,RO,2083.96
818004,05/07/25,1653,VARCO MA,1718.94,1718.94,True,14,JV,1822.08
818005,05/07/25,255,THE SEVE,813.35,813.35,True,7,JV,862.15
818006,05/07/25,129ASI,COUSER S,5822.4,5822.4,True,3,HB,5822.4
818007,05/07/25,570,SMITH IN,79.8,79.8,True,1,J2V,79.8
818008,05/07/25,1764W,POWER SO,290.4,290.4,True,11,CA,292.28
818009,05/07/25,17,CLARK CO,399.9,399.9,True,1,HW,423.89
818010,05/07/25,342,CONTRACT,543.06,543.06,True,6,JA,575.64
818011,05/07/25,727,NORTH AM,9503.0,9503.0,True,7,J2V,9503.0
818012,05/07/25,727,NORTH AM,2291.7,2291.7,True,10,J2V,2291.7
818013,05/07/25,1757,L.R. WIL,870.0,870.0,True,2,JA,922.2
818014,05/07/25,750,DIGGING,215.0,215.0,True,1,J2V,227.9
818015,05/07/25,55,DYNALECT,547.5,547.5,True,6,JV,580.35
818016,05/07/25,683,SPINIELL,1079.0,1079.0,True,1,J2V,1143.74
818017,05/07/25,795,OSPREY C,835.95,835.95,True,12,RO,886.11
818018,05/07/25,1757,L.R. WIL,474.0,474.0,True,1,JA,502.44
818019,05/07/25,1096,CONSTELL,431.52,431.52,True,1,CA,457.41
818020,05/07/25,1766,W.E. BOW,409.93,409.93,True,9,CA,434.53
818021,05/07/25,1099,SNYDER E,3960.8,3960.8,True,13,J2V,4198.45
818022,05/07/25,727,NORTH AM,1453.67,1453.67,True,7,J2V,1540.89
818023,05/07/25,17,CLARK CO,121.98,121.98,True,1,HW,129.3
818024,05/07/25,795,OSPREY C,1032.35,1032.35,True,9,RO,1094.29
818025,05/07/25,727,NORTH AM,2925.19,2925.19,True,20,J2V,3100.7
818026,05/07/25,55,DYNALECT,2400.0,2400.0,True,1,JV,2544.0
818027,05/07/25,17,CLARK CO,759.0,759.0,True,2,HW,804.54
818028,05/07/25,17,CLARK CO,77.5,77.5,True,2,HW,82.15
818029,05/07/25,17,CLARK CO,219.0,219.0,True,1,HW,232.14
818030,05/07/25,17,CLARK CO,83.67,83.67,True,2,HW,88.69
818031,05/07/25,55,DYNALECT,1044.0,1044.0,True,3,JV,1106.64
818032,05/07/25,1766,W.E. BOW,2176.6,2176.6,True,9,CA,2307.2
818033,05/07/25,17,CLARK CO,65.93,65.93,True,4,HW,69.89
818034,05/07/25,1273,STRUCTUR,908.01,908.01,True,6,JA,962.49
818035,05/07/25,55,DYNALECT,170.0,170.0,True,1,JV,180.2
818036,05/07/25,17,CLARK CO,98.85,98.85,True,1,HW,104.78
818037,05/07/25,55,DYNALECT,274.5,198.0,False,4,JV,290.97
818038,05/07/25,1098,CONCRETE,2230.36,2230.36,True,11,JS,2364.18
818039,05/07/25,784,ATLANTIC,39.8,39.8,True,1,HB,39.8
818040,05/07/25,874,STILWELL,1087.0,1087.0,True,3,JS,1152.22
818041,05/07/25,1734CH,PULLMAN,312.0,312.0,True,1,JA,312.0
818042,05/07/25,1207,WHITING,139.5,139.5,True,2,CA,147.87
818043,05/07/25,55,DYNALECT,155.0,155.0,True,1,JV,164.3
818044,05/07/25,55,DYNALECT,142.85,142.85,True,6,JV,151.42
818045,05/07/25,1711,THE POOL,2124.0,2124.0,True,4,JS,2251.44
818046,05/07/25,1505,DENVER-E,376.2,376.2,True,7,JS,398.77
818047,05/07/25,1525,FIDELITY,781.2,781.2,True,4,JS,828.07
818048,05/07/25,1624,DECA INC,3774.19,3774.19,True,16,JS,4000.64
818049,05/07/25,59,EV-AIR-T,935.0,935.0,True,2,RO,991.1
818050,05/07/25,1765,ABM FACI,104.94,104.94,True,2,RO,111.24
818051,05/07/25,51,MECHANIC,279.1,279.1,True,6,JS,295.85
818052,05/07/25,59,EV-AIR-T,1176.6,1176.6,True,8,RO,1247.2
818053,05/07/25,59,EV-AIR-T,1402.84,1402.84,True,5,RO,1487.01
818054,05/07/25,51,MECHANIC,24.65,24.65,True,3,JS,26.13
818055,05/07/25,240,"VIMCO, I",-25.8,-25.8,True,1,HB,-25.8
818056,05/07/25,1539,C.A. LIN,511.5,511.5,True,3,RO,542.19
818057,05/07/25,122LC,CONCRETE,132.0,132.0,True,1,RO,139.92
818058,05/07/25,1099,SNYDER E,357.25,357.25,True,4,J2V,378.69
818059,05/07/25,830,THE DURA,34.75,34.75,True,1,MS,36.84
818060,05/07/25,59,EV-AIR-T,65.0,65.0,True,1,RO,68.9
818061,05/07/25,59,EV-AIR-T,39.0,39.0,True,1,RO,41.34
818062,05/07/25,59,EV-AIR-T,52.25,52.25,True,2,RO,55.39
818063,05/07/25,1712,CITIROOF,998.0,998.0,True,2,HB,1057.88
818064,05/07/25,893,COM-BRO,315.0,315.0,True,1,MS,333.9
818065,05/07/25,644,VETERANS,2169.0,2169.0,True,3,J2V,2299.14
818066,05/07/25,798,ADJ SHEE,78.14,78.14,True,6,CA,82.83
818067,05/07/25,1397,ELECTRIC,162.2,162.2,True,6,JS,171.93
818068,05/07/25,1397,ELECTRIC,317.95,317.95,True,2,JS,337.03
818069,05/07/25,1647,GREENWAL,124.0,124.0,True,4,HW,124.0
818070,05/07/25,1397,ELECTRIC,47.9,47.9,True,2,JS,50.77
818071,05/07/25,1273SST,PULLMAN,1333.7,1333.7,True,3,JA,1422.06
818072,05/07/25,1311,RELIABLE,1014.46,1014.46,True,4,RO,1075.33
818073,05/07/25,1641,CONSOLID,609.94,609.94,True,5,RO,646.54
818074,05/07/25,863,R.E. PIE,252.73,252.73,True,7,MS,267.89
818075,05/07/25,45,ARICA CO,80.5,80.5,True,3,CA,85.33
818076,05/07/25,45,ARICA CO,42.99,42.99,True,1,CA,45.57
818077,05/07/25,843,TOTAL AC,796.28,796.28,True,5,HB,844.06
818078,05/07/25,45,ARICA CO,174.86,174.86,True,6,CA,185.35
