Invoice #,Date,Customer Code,Customer Name,Subtotal,Calculated,Match?,# Items,Salesperson,Doc Total
817859,05/07/25,1204,USI CARR,1050.0,1050.0,True,1,RO,1113.0
817860,05/07/25,200J2V,CASH CUS,420.0,420.0,True,2,J2V,445.2
817861,05/07/25,200,CASH SAL,49.74,49.74,True,4,CM,50.47
817862,05/07/25,200,CASH SAL,0.0,0,True,0,SER,0.0
817863,05/07/25,797,RAZE WOR,0.0,0,True,0,SER,0.0
817864,05/07/25,718,RENOVATI,2678.0,2678.0,True,3,CA,2838.68
817865,05/07/25,200,CASH SAL,180.0,180.0,True,2,HB,180.0
817866,05/07/25,877,COASTAL,911.15,911.15,True,7,JS,965.82
817867,05/07/25,718,RENOVATI,806.4,806.4,True,1,CA,854.78
817868,05/07/25,797,RAZE WOR,916.25,916.25,True,5,JS,971.23
817869,05/07/25,797,RAZE WOR,399.0,399.0,True,1,JS,422.94
817870,05/07/25,200,CASH SAL,934.0,934.0,True,2,HB,990.04
817871,05/07/25,200,CASH SAL,247.0,247.0,True,3,HB,261.82
817872,05/07/25,200,CASH SAL,241.25,241.25,True,2,HB,255.73
817873,05/07/25,200,CASH SAL,121.25,121.25,True,2,HB,128.53
817874,05/07/25,200MS,CASH CUS,171.0,171.0,True,3,MS,181.26
817875,05/07/25,200,CASH SAL,142.0,142.0,True,1,HB,150.52
817876,05/07/25,439,PEI ENGI,646.0,646.0,True,2,CA,684.76
817877,05/07/25,200MS,CASH CUS,459.8,459.8,True,1,MS,487.39
817878,05/07/25,1422,POTOMAC,17.5,17.5,True,1,CA,18.55
817879,05/07/25,438,T&D PLUM,155.0,155.0,True,1,JV,164.3
817880,05/07/25,1711,THE POOL,510.0,510.0,True,2,JS,540.6
817881,05/07/25,1711,THE POOL,61.14,61.14,True,3,SER,64.81
817882,05/07/25,562,HENSEL P,31.25,31.25,True,6,SER,33.13
817883,05/07/25,1354,OVERHEAD,440.0,440.0,True,1,J2V,466.4
817884,05/07/25,1766,W.E. BOW,410.0,410.0,True,1,CA,434.6
817885,05/07/25,604,IRON FAB,77.65,77.65,True,3,CM,80.06
817886,05/07/25,55,DYNALECT,1395.0,1395.0,True,1,JV,1478.7
817887,05/07/25,1711,THE POOL,122.94,122.94,True,4,CM,127.62
817888,05/07/25,367,ACM SERV,537.0,537.0,True,1,CA,569.22
817889,05/07/25,367,ACM SERV,537.0,537.0,True,1,CA,569.22
817890,05/07/25,1170WIN,CONCRETE,30.5,30.5,True,1,CA,32.12
817891,05/07/25,1273NJ2,STRUCTUR,53.9,53.9,True,1,JA,53.9
817892,05/07/25,371,O'CONNOR,495.0,495.0,True,1,MS,524.7
817893,05/07/25,17,CLARK CO,1575.0,1575.0,True,3,HW,1669.5
817894,05/07/25,1408,SESSA SH,488.88,488.88,True,1,JS,518.21
817895,05/07/25,367,ACM SERV,63.0,63.0,True,2,CA,66.78
817896,05/07/25,683,SPINIELL,110.97,110.97,True,1,J2V,117.63
817897,05/07/25,1273LI,STRUCTUR,791.88,791.88,True,1,JA,791.88
817898,05/07/25,753,SELECT E,62.14,62.14,True,4,RPS,63.17
817899,05/07/25,889,DIRECT L,207.0,207.0,True,1,JA,207.0
817900,05/07/25,17,CLARK CO,25.98,25.98,True,1,HW,27.54
817901,05/07/25,1766,W.E. BOW,237.0,237.0,True,1,CA,251.22
817902,05/07/25,593,BERLIN S,999.0,999.0,True,1,J2V,1058.94
817903,05/07/25,677,BT PLUMB,259.0,259.0,True,1,JV,259.0
817904,05/07/25,17,CLARK CO,58.99,58.99,True,1,HW,62.53
817905,05/07/25,1211,ROBERT T,778.0,778.0,True,1,RO,824.68
817906,05/07/25,55,DYNALECT,342.0,342.0,True,1,JV,362.52
817907,05/07/25,461,HELIX EL,679.8,679.8,True,1,JV,720.59
817908,05/07/25,88,HARRIS M,60.99,60.99,True,2,J2V,64.65
817909,05/07/25,469,EMJAY CO,249.99,249.99,True,1,MS,264.99
817910,05/07/25,1653,VARCO MA,40.0,40.0,True,1,JV,42.4
817911,05/07/25,55,DYNALECT,122.25,122.25,True,1,JV,129.59
817912,05/07/25,146,FREESTAT,90.1,90.1,True,6,JV,90.1
817913,05/07/25,438,T&D PLUM,482.2,482.2,True,15,JV,511.13
817914,05/07/25,1766,W.E. BOW,33.5,33.5,True,1,CA,35.51
817915,05/07/25,1757,L.R. WIL,580.0,580.0,True,1,JA,614.8
817916,05/07/25,1170WIN,CONCRETE,101.4,101.4,True,1,CA,106.77
817917,05/07/25,1653,VARCO MA,18.0,18.0,True,1,JV,19.08
817918,05/07/25,255,THE SEVE,1807.0,1807.0,True,1,JV,1915.42
817919,05/07/25,1006,CHARLES,107.5,107.5,True,1,RO,113.95
817920,05/07/25,255,THE SEVE,660.0,660.0,True,1,JV,699.6
817921,05/07/25,371,O'CONNOR,1604.9,1604.9,True,2,MS,1701.19
817922,05/07/25,17,CLARK CO,50.85,50.85,True,1,HW,53.9
817923,05/07/25,863,R.E. PIE,94.0,94.0,True,1,MS,99.64
817924,05/07/25,1273,STRUCTUR,59.75,59.75,True,2,JA,59.75
817925,05/07/25,1422,POTOMAC,94.5,94.5,True,1,CA,100.17
817926,05/07/25,314,CHESAPEA,922.45,922.45,True,1,SER,977.8
817927,05/07/25,1653,VARCO MA,3435.0,3435.0,True,5,JV,3641.1
817928,05/07/25,55,DYNALECT,267.96,267.96,True,3,JV,284.04
817929,05/07/25,1273NJ2,STRUCTUR,457.5,457.5,True,3,JA,457.5
817930,05/07/25,859,T&B ELEC,121.98,121.98,True,2,JV,129.3
817931,05/07/25,1273NJ2,STRUCTUR,799.9,799.9,True,1,JA,799.9
817932,05/07/25,1207,WHITING,400.0,400.0,True,1,CA,424.0
817933,05/07/25,604,IRON FAB,157.0,157.0,True,1,J2V,166.42
817934,05/07/25,1411,WAGNER R,288.0,288.0,True,1,CA,305.28
817935,05/07/25,1025,ORNDORFF,84.24,84.24,True,1,CA,89.29
817936,05/07/25,1548,J.E. RIC,379.0,379.0,True,1,RO,401.74
817937,05/07/25,1211,ROBERT T,1405.93,1405.93,True,12,RO,1490.29
817938,05/07/25,1548,J.E. RIC,59.0,59.0,True,3,RO,62.54
817939,05/07/25,1653,VARCO MA,75.0,75.0,True,2,JV,79.5
817940,05/07/25,570,SMITH IN,139.5,139.5,True,2,J2V,139.5
817941,05/07/25,146,FREESTAT,295.2,295.2,True,1,JV,312.91
817942,05/07/25,330,MONA ELE,5800.0,5800.0,True,6,JV,6148.0
817943,05/07/25,255,THE SEVE,3799.99,3799.99,True,7,JV,4027.99
817944,05/07/25,1262,"AIW, INC",544.0,544.0,True,2,JV,576.64
817945,05/07/25,1766,W.E. BOW,799.4,799.4,True,1,CA,847.36
